row_id,surface_au_composition,substrate_au_composition,plane_rms_A,plane_max_abs_A,au_au_avg_bond_strain_surface,au_cu_avg_bond_strain_surface,cu_cu_avg_bond_strain_surface,au_avg_voronoi_strain,cu_avg_voronoi_strain,avg_au_cu_area_strain,diff_area_au_minus_cu_strain
1,4.0,0.0,0.062343663707847635,0.11585771647721663,nan,-5.696811615266068,-0.0625521168977159,-21.800297019222057,-0.06121769129303023,-0.9307808644101914,-21.739079327929026
2,4.0,0.0,0.07225058609784239,0.2143829642877565,nan,-5.223070496627501,-0.10503337866314957,-21.034519217921957,-0.10236243160042657,-0.9396487030532878,-20.93215678632153
3,4.0,0.0,0.05840647164341632,0.11858794334321321,nan,-4.606993212445271,-0.15876010641170166,-19.989842352511076,-0.1607774288933392,-0.9539400258380485,-19.829064923617736
4,4.0,0.0,0.06701188811185123,0.15777970193634466,nan,-4.9428166821770425,-0.1320635703756233,-20.530901175493433,-0.13005532545458573,-0.9460891594561396,-20.40084585003885
5,4.0,0.0,0.07527878237993126,0.23281071292657576,nan,-5.510334495353127,-0.07926576114280152,-21.51082559508192,-0.07830559809914611,-0.9356063979784569,-21.432519996982773
6,4.0,0.0,0.06534069879490371,0.13692294880652767,nan,-5.857448850408087,-0.048211164460704614,-22.068719394838848,-0.04626830610155322,-0.927166349651045,-22.022451088737295
7,4.0,0.0,0.07041213698072207,0.1665063496531544,nan,-6.342734363278351,-0.003798670760708094,-22.865800322723903,-0.005073376311066811,-0.9195024541675803,-22.860726946412836
8,4.0,0.0,0.0701939985830516,0.14516582492152028,nan,-6.313061823050141,-0.006008151290869285,-22.813752249007557,-0.006474669029615951,-0.9187657722287337,-22.807277579977942
9,4.0,0.0,0.06482339279647459,0.10871793494606675,nan,-5.650066425377175,-0.06852607285112834,-21.722027495208444,-0.06525765782250148,-0.9315284513179393,-21.65676983738594
10,4.0,0.0,0.0757677936526963,0.19638516994518831,nan,-5.922884396402185,-0.042609805564566595,-22.169866513446614,-0.04166527008852167,-0.9267933198228454,-22.12820124335809
11,4.0,0.0,0.0814242156963048,0.2608892648805201,nan,-5.5256327057228924,-0.07844823489920259,-21.54024587738159,-0.07643302937314006,-0.9349855432934779,-21.463812848008452
12,4.0,0.0,0.07527878237993126,0.23281071292657576,nan,-5.510334495353127,-0.07926576114280152,-21.51082559508192,-0.07830559809914611,-0.9356063979784569,-21.432519996982773
13,4.0,0.0,0.06559050324795607,0.14199620374170194,nan,-6.5901930474288966,0.021116197759761954,-23.268102050500573,0.01731569524275342,-0.9141010145869797,-23.285417745743327
14,4.0,0.0,0.07001596278955123,0.15576612333990977,nan,-5.542865304097323,-0.07563006428216236,-21.580905740645463,-0.07288423848577608,-0.9332050985721636,-21.508021502159686
